id,url,type,description,package
CMS-18735,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18735,Bug,Versions gadget: Displays many primary published versions after publishing from Quick Edit,EPiServer.CMS.UI.AspNetIdentity
CMS-18684,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18684,Bug,Page name is not applied to translated page,EPiServer.CMS.UI.AspNetIdentity
CMS-18492,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18492,Bug,Edit/Media: Cannot search media file in the Media gadget,EPiServer.CMS.UI.AspNetIdentity
CMS-19005,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-19005,Bug,Site hangs because of thread deadlock,EPiServer.CMS.UI.AspNetIdentity
CMS-18706,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18706,Bug,CMS-18021 didn't completely fix the menu,EPiServer.CMS.UI.AspNetIdentity
CMS-18649,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18649,Bug,TinyMCE on-page editing rendering problem in Web Forms,EPiServer.CMS.UI.AspNetIdentity
CMS-17745,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17745,UI Feature,Hide preview options for content without a view,EPiServer.CMS.UI.AspNetIdentity
CMS-16004,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16004,Bug,CMS Admin User management timeout errors,EPiServer.CMS.UI.AspNetIdentity
CMS-14117,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-14117,Bug,Link Status report does not contain language,EPiServer.CMS.UI.AspNetIdentity
CMS-18021,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18021,Bug,Custom CMS UI menu resized after update,EPiServer.CMS.UI.AspNetIdentity
CMS-16689,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16689,Bug,Programmatically creating or importing content creates additional rows in tblNotificationSubscription,EPiServer.CMS.UI.AspNetIdentity
CMS-18303,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18303,Bug,Exception thrown when FindSubscribersAsync retuns duplicates,EPiServer.CMS.UI.AspNetIdentity
CMS-17769,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17769,Bug,"Appear many strange events with baseType""RemoteDependencyData""",EPiServer.CMS.UI.AspNetIdentity
CMS-18259,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-18259,UI Feature,Side panes active when editing block inline,EPiServer.CMS.UI.AspNetIdentity
CMS-17919,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17919,Bug,Accessibility issues with the login page,EPiServer.CMS.UI.AspNetIdentity
CMS-17695,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17695,Bug,Display duplicated project name in project notification,EPiServer.CMS.UI.AspNetIdentity
CMS-17509,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17509,Bug,Unable to upload 2 media files continuously to For This Page media folder,EPiServer.CMS.UI.AspNetIdentity
CMS-16918,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16918,Bug,"Floating ""this field is required"" message",EPiServer.CMS.UI.AspNetIdentity
CMS-17407,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17407,Bug,System returns Dashboard view when user clicks Clear button on Image property,EPiServer.CMS.UI.AspNetIdentity
CMS-17682,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17682,Feature,Adopt new PN with telemetry - CMS UI,EPiServer.CMS.UI.AspNetIdentity
CMS-16631,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16631,UI Feature,Move InlineBlockEditing to CMS UI,EPiServer.CMS.UI.AspNetIdentity
CMS-15164,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-15164,UI Feature,Send feedback from UI - MVP,EPiServer.CMS.UI.AspNetIdentity
CMS-16575,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16575,Bug,Scroll bars are very difficult to drag,EPiServer.CMS.UI.AspNetIdentity
CMS-15811,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-15811,Bug,Exception when translating a page,EPiServer.CMS.UI.AspNetIdentity
CMS-17067,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-17067,Bug,"Visitor groups appear in search result for ""groups"" when capitalizing/uncapitalizing first letter",EPiServer.CMS.UI.AspNetIdentity
CMS-16316,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-16316,Bug,Project Overview: There is an error dialog after deleting a project and removing scheduling of contents,EPiServer.CMS.UI.AspNetIdentity
CMS-21144,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-21144,Feature,Support Newtonsoft.Json 13 in CMS 11,EPiServer.Framework
CMS-21053,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-21053,Bug,Issue with page field Published date - CMS 11,EPiServer.Framework
CMS-14681,https://world.optimizely.com/documentation/Release-Notes/ReleaseNote/?releaseNoteId=CMS-14681,Bug,Migration step: GroupName on property was not updated,EPiServer.Framework
